symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-03-09 00:00:00+00:00,1215.79,1252.73,1198.04,1204.96,3462578,1215.79,1252.73,1198.04,1204.96,3462578,0.0,1.0
GOOGL,2020-03-10 00:00:00+00:00,1275.17,1275.85,1214.51,1254.39,2743566,1275.17,1275.85,1214.51,1254.39,2743566,0.0,1.0
GOOGL,2020-03-11 00:00:00+00:00,1210.9,1256.93,1191.14,1248.27,2741694,1210.9,1256.93,1191.14,1248.27,2741694,0.0,1.0
GOOGL,2020-03-12 00:00:00+00:00,1111.55,1188.75,1108.47,1122.62,4716293,1111.55,1188.75,1108.47,1122.62,4716293,0.0,1.0
GOOGL,2020-03-13 00:00:00+00:00,1214.27,1214.4,1112.29,1174.99,3969973,1214.27,1214.4,1112.29,1174.99,3969973,0.0,1.0
GOOGL,2020-03-16 00:00:00+00:00,1073.0,1145.47,1067.08,1089.61,4825981,1073.0,1145.47,1067.08,1089.61,4825981,0.0,1.0
GOOGL,2020-03-17 00:00:00+00:00,1118.06,1126.0,1049.1,1090.64,4159686,1118.06,1126.0,1049.1,1090.64,4159686,0.0,1.0
GOOGL,2020-03-18 00:00:00+00:00,1091.19,1104.99,1037.0,1059.94,4636840,1091.19,1104.99,1037.0,1059.94,4636840,0.0,1.0
GOOGL,2020-03-19 00:00:00+00:00,1111.67,1152.61,1055.55,1088.22,3703248,1111.67,1152.61,1055.55,1088.22,3703248,0.0,1.0
GOOGL,2020-03-20 00:00:00+00:00,1068.21,1138.48,1062.1,1130.9,4143897,1068.21,1138.48,1062.1,1130.9,4143897,0.0,1.0
GOOGL,2020-03-23 00:00:00+00:00,1054.13,1066.91,1008.87,1056.37,4183629,1054.13,1066.91,1008.87,1056.37,4183629,0.0,1.0
GOOGL,2020-03-24 00:00:00+00:00,1130.01,1133.33,1086.43,1103.98,3623435,1130.01,1133.33,1086.43,1103.98,3623435,0.0,1.0
GOOGL,2020-03-25 00:00:00+00:00,1101.62,1146.17,1083.01,1124.58,4516162,1101.62,1146.17,1083.01,1124.58,4516162,0.0,1.0
GOOGL,2020-03-26 00:00:00+00:00,1162.92,1171.48,1092.03,1114.72,3834422,1162.92,1171.48,1092.03,1114.72,3834422,0.0,1.0
GOOGL,2020-03-27 00:00:00+00:00,1110.26,1151.05,1104.0,1127.47,3139661,1110.26,1151.05,1104.0,1127.47,3139661,0.0,1.0
GOOGL,2020-03-30 00:00:00+00:00,1146.31,1151.0,1098.49,1132.64,2936827,1146.31,1151.0,1098.49,1132.64,2936827,0.0,1.0
GOOGL,2020-03-31 00:00:00+00:00,1161.95,1173.4,1136.72,1148.73,3263971,1161.95,1173.4,1136.72,1148.73,3263971,0.0,1.0
GOOGL,2020-04-01 00:00:00+00:00,1102.1,1129.42,1093.49,1124.0,2598519,1102.1,1129.42,1093.49,1124.0,2598519,0.0,1.0
GOOGL,2020-04-02 00:00:00+00:00,1117.03,1122.77,1093.13,1100.0,2820534,1117.03,1122.77,1093.13,1100.0,2820534,0.0,1.0
GOOGL,2020-04-03 00:00:00+00:00,1092.7,1118.79,1075.08,1114.71,2568694,1092.7,1118.79,1075.08,1114.71,2568694,0.0,1.0
GOOGL,2020-04-06 00:00:00+00:00,1183.19,1190.75,1125.0,1133.0,3165991,1183.19,1190.75,1125.0,1133.0,3165991,0.0,1.0
GOOGL,2020-04-07 00:00:00+00:00,1182.56,1220.78,1177.25,1217.01,3080955,1182.56,1220.78,1177.25,1217.01,3080955,0.0,1.0
